City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (current 3 hours),Snow Inches (current 3 hours)
208,Chuy,UY,2020-01-17 00:43:24,-33.7,-53.46,61.86,48,1,6.02,clear sky,0.0,0.0
209,Cidreira,BR,2020-01-17 00:43:24,-30.18,-50.21,71.24,56,93,16.58,overcast clouds,0.0,0.0
210,Esperance,AU,2020-01-17 00:43:25,-33.87,121.9,68.22,79,51,11.97,broken clouds,0.0,0.0
211,Sinnamary,GF,2020-01-17 00:43:25,5.38,-52.95,79.84,85,100,13.71,overcast clouds,0.0,0.0
212,Northam,GB,2020-01-17 00:43:26,51.03,-4.22,50.0,91,100,5.99,overcast clouds,0.0,0.0
213,Beyneu,KZ,2020-01-17 00:43:26,45.32,55.2,29.62,67,0,8.1,clear sky,0.0,0.0
214,Bengkulu,ID,2020-01-17 00:43:27,-3.8,102.27,73.92,93,66,3.24,light rain,0.13,0.0
215,Talnakh,RU,2020-01-17 00:43:27,69.49,88.4,3.74,90,100,24.99,light snow,0.0,0.31
216,Pitimbu,BR,2020-01-17 00:43:27,-7.47,-34.81,77.65,81,60,6.2,broken clouds,0.0,0.0
217,Sechelt,CA,2020-01-17 00:43:28,49.47,-123.77,39.99,64,40,3.36,scattered clouds,0.0,0.0
218,Kirakira,SB,2020-01-17 00:43:28,-10.45,161.92,83.77,71,60,8.32,broken clouds,0.0,0.0
219,Pirawa,IN,2020-01-17 00:43:29,24.16,76.03,51.46,98,6,5.82,clear sky,0.0,0.0
220,La Sarre,CA,2020-01-17 00:43:29,48.8,-79.2,-10.68,95,100,6.31,overcast clouds,0.0,0.0
221,Naze,JP,2020-01-17 00:43:29,28.37,129.48,62.67,88,99,22.17,light rain,2.69,0.0
222,Touros,BR,2020-01-17 00:43:30,-5.2,-35.46,82.26,78,52,20.85,broken clouds,0.0,0.0
223,Port-Gentil,GA,2020-01-17 00:43:30,-0.72,8.78,82.96,74,100,8.48,light rain,2.25,0.0
224,Ixtapa,MX,2020-01-17 00:43:31,20.7,-105.2,79.0,90,78,5.01,broken clouds,0.0,0.0
225,Kiruna,SE,2020-01-17 00:43:31,67.86,20.23,7.57,92,100,4.81,overcast clouds,0.0,0.0
226,Chardara,KZ,2020-01-17 00:41:06,41.25,67.97,30.06,81,0,5.84,clear sky,0.0,0.0
227,Padang,ID,2020-01-17 00:43:31,-0.95,100.35,68.67,95,90,4.34,overcast clouds,0.0,0.0
228,Saint George,US,2020-01-17 00:43:32,37.1,-113.58,55.4,32,1,5.82,clear sky,0.0,0.0
