City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (current 3 hours),Snow Inches (current 3 hours)
199,Kirakira,SB,2020-01-13 03:50:46,-10.45,161.92,81.41,77,100,5.08,light rain,0.19,0.0
200,Tual,ID,2020-01-13 03:50:46,-5.67,132.75,83.03,75,100,15.79,light rain,0.56,0.0
201,Aquiraz,BR,2020-01-13 03:50:47,-3.9,-38.39,81.0,74,20,5.82,few clouds,0.0,0.0
202,Andenes,NO,2020-01-13 03:50:47,69.31,16.12,35.01,66,100,16.11,light snow,0.0,0.0
203,Lubango,AO,2020-01-13 03:48:47,-14.92,13.49,60.12,96,100,3.74,overcast clouds,0.0,0.0
204,Basoko,CD,2020-01-13 03:50:48,1.24,23.62,71.06,76,78,1.66,broken clouds,0.0,0.0
205,Adrar,MR,2020-01-13 03:50:48,20.5,-10.07,53.83,27,0,12.28,clear sky,0.0,0.0
206,Husavik,IS,2020-01-13 03:50:49,66.04,-17.34,24.8,79,75,2.24,broken clouds,0.0,0.0
207,Dudinka,RU,2020-01-13 03:50:49,69.41,86.18,-7.6,83,79,13.42,broken clouds,0.0,0.0
208,Yulara,AU,2020-01-13 03:50:49,-25.24,130.99,100.4,11,66,8.05,broken clouds,0.0,0.0
209,Auki,SB,2020-01-13 03:50:50,-8.77,160.7,83.62,80,100,15.64,light rain,0.38,0.0
210,Salekhard,RU,2020-01-13 03:50:51,66.53,66.6,11.03,94,100,12.91,light snow,0.0,1.06
211,Sao Gabriel Da Cachoeira,BR,2020-01-13 03:50:51,-0.13,-67.09,72.16,98,93,2.15,moderate rain,4.75,0.0
212,Albertville,US,2020-01-13 03:49:05,34.27,-86.21,54.0,76,75,4.7,broken clouds,0.0,0.0
213,Beringovskiy,RU,2020-01-13 03:50:52,63.05,179.32,19.38,83,100,4.81,overcast clouds,0.0,0.0
214,East London,ZA,2020-01-13 03:50:52,-33.02,27.91,73.4,100,75,10.29,moderate rain,0.0,0.0
215,Geraldton,AU,2020-01-13 03:50:53,-28.77,114.6,84.2,45,0,19.46,clear sky,0.0,0.0
216,Harper,LR,2020-01-13 03:50:54,4.38,-7.72,76.55,92,0,2.24,clear sky,0.0,0.0
217,Sur,OM,2020-01-13 03:50:54,22.57,59.53,62.89,56,0,13.6,light rain,0.13,0.0
218,Calatayud,ES,2020-01-13 03:50:54,41.35,-1.64,33.8,67,64,2.24,broken clouds,0.0,0.0
219,Upernavik,GL,2020-01-13 03:50:55,72.79,-56.15,-10.82,67,66,9.1,broken clouds,0.0,0.0
220,Orlik,RU,2020-01-13 03:50:56,52.52,99.83,-9.71,81,71,2.84,broken clouds,0.0,0.0
221,Khatanga,RU,2020-01-13 03:50:57,71.97,102.5,-18.6,95,43,9.66,scattered clouds,0.0,0.0
222,Faanui,PF,2020-01-13 03:50:58,-16.48,-151.75,81.09,79,100,14.99,moderate rain,3.31,0.0
